name,img_url,category_id
panther,https://imgur.com/yyyDnkg.gif,1
lion,https://imgur.com/R6bdhMK.gif,1
wolf,https://imgur.com/nqoOQrw.gif,1
bearhello,https://imgur.com/nlvtUcB.gif,1
bearhoola,https://imgur.com/O8yQ6GM.gif,1
bear,https://imgur.com/NK6LDQH.gif,1
hamster,https://imgur.com/bc4X8cY.gif,1
hamsterchew,https://imgur.com/l3jMJoB.gif,1
hedgehog,https://imgur.com/W9sRNAY.gif,1
panda,https://imgur.com/x4BSaLM.gif,1
elephant,https://imgur.com/CFcWyB0.gif,1
catcute,https://imgur.com/UPpBz4N.gif,1
catfoot,https://imgur.com/HQTFE0h.gif,1
cat,https://imgur.com/9agDqzD.gif,1
monkey,https://imgur.com/JSowWQ4.gif,1
bulldog,https://imgur.com/9aoaRWn.gif,1
cow,https://imgur.com/eO90D2F.gif,1
bunny,https://imgur.com/OzdVU0I.gif,1
otter,https://imgur.com/crKqMmh.gif,1
penguin,https://imgur.com/8IfZab3.gif,1
eagle,https://imgur.com/eqDaRFx.gif,1
girafftongue,https://imgur.com/eLRFOhz.gif,1
monkeyhair,https://imgur.com/I1PqOR7.gif,1
dogsuperman,https://imgur.com/j3Tyqo8.gif,1
dogbrocholi,https://imgur.com/U3uosLA.gif,1
dogflying,https://imgur.com/ZduzJ2h.gif,1
owllove,https://imgur.com/B5wCiwv.gif,1
owllook,https://imgur.com/nGCYZh7.gif,1
fish,https://imgur.com/tO5vX8V.gif,1
fox,https://imgur.com/YA9R7a8.gif,1
foxears,https://imgur.com/Zkdvwgt.gif,1
bat,https://imgur.com/1trNAEC.gif,1
antelope,https://imgur.com/Mt6wixf.gif,1
antelopepopcorn,https://imgur.com/empETwJ.gif,1
porcupine,https://imgur.com/S3vTTUD.gif,1
squirel,https://imgur.com/beLq0Bz.gif,1
