name,img_url,category_id
beckham,https://imgur.com/1A7nuTo.gif,4
lincecum,https://imgur.com/vPxcsb8.gif,4
ramos,https://imgur.com/WaZizKQ.gif,4
rooney,https://imgur.com/7HOc1V9.gif,4
pujols,https://imgur.com/c4dDJ9T.gif,4
neymar,https://imgur.com/anEx6MQ.gif,4
kemp,https://imgur.com/gfrwf2G.gif,4
jeter,https://imgur.com/HGQoPRo.gif,4
curry,https://imgur.com/guaWYBv.gif,4
russel,https://imgur.com/aHdsytE.gif,4
hamilton,https://imgur.com/cmkiMA0.gif,4
ronaldinho,https://imgur.com/FQd8RxU.gif,4
durant,https://imgur.com/RnbY8xl.gif,4
farah,https://imgur.com/yyhttMT.gif,4
lebron,https://imgur.com/9QV9jXe.gif,4
candace,https://imgur.com/zeBGW8K.gif,4
federer,https://imgur.com/lLNO2fJ.gif,4
serena,https://imgur.com/k754LZl.gif,4
phelps,https://imgur.com/07xhNZB.gif,4
nadal,https://imgur.com/SvH9a6T.gif,4
ennis,https://imgur.com/dupFymc.gif,4
morgan,https://imgur.com/2ltQS1n.gif,4
djokovic,https://imgur.com/KCGkEhQ.gif,4
sloane,https://imgur.com/nlOlwYT.gif,4
messi,https://imgur.com/VrI86oo.gif,4
cristiano,https://imgur.com/Pq0H9M2.gif,4
simone,https://imgur.com/shk5n43.gif,4
bolt,https://imgur.com/ogqIgQK.gif,4
brady,https://imgur.com/Xltim4f.gif,4
kobe,https://imgur.com/VDzZiy0.gif,4
venus,https://imgur.com/lCwsPqy.gif,4
sharapova,https://imgur.com/2kJD63u.gif,4
danica,https://imgur.com/8a74Oz5.gif,4
jordan,https://imgur.com/JyjW82C.gif,4
solo,https://imgur.com/Pdrc29M.gif,4
rothlisberger,https://imgur.com/sHbbmad.gif,4
